Category,Part Name,SKU / Model,Qty,Cost (est),Supplier,Stock URL
Main Controller,ESP32-WROOM-32 Development Board,ESP32-38P,1,$5.00,Adafruit/Amazon,https://www.adafruit.com/product/3269
Display,1.3" Monochrome OLED (SHARP equivalent),SHARP LS013B4DN02 / I2C equivalent,1,$15.00,Adafruit/Amazon,https://www.adafruit.com/product/3502
Battery,500 mAh LiPo Battery (3.7V),PKCELL 500mAh,1,$8.00,Adafruit,https://www.adafruit.com/product/1578
Solenoid,5V / 0.3A Solenoid (Pull-type),DC-0530,1,$6.00,SparkFun/Amazon,https://www.sparkfun.com/products/11015
Torque Sensor,Strain Gauge Load Cell (5kg max),Generic 5kg Load Cell,1,$5.00,Amazon,https://www.amazon.com/dp/B07GRPV7K7
ADC,HX711 Load Cell Amplifier,HX711-MODULE,1,$2.00,Amazon,https://www.amazon.com/dp/B07GRPV7K7
Audio Jack,3.5 mm Stereo Jack (Breadboard-friendly),PJ-398SM / PJ-320D,1,$1.50,Amazon/DigiKey,https://www.digikey.com/en/products/detail/cui-devices/PJ-398SM/10260467
Vibration Motor,3V Coin-style Vibration Motor,304-103,1,$2.00,Adafruit,https://www.adafruit.com/product/1201
Power Switch,Miniature Slide Switch,SPDT Mini Slide,1,$0.50,Adafruit,https://www.adafruit.com/product/805
MOSFET,N-Channel Power MOSFET (Solenoid Driver),IRLZ44N / IRLML2502,1,$1.00,DigiKey,https://www.digikey.com/en/products/detail/infineon-technologies/IRLZ44NPBF/811732
Connector,JST-PH 2-Pin Battery Connector,JST-PH-2,1,$0.50,Adafruit,https://www.adafruit.com/product/1769
Silicone Parts,ISO 10993-5 Medical-Grade Silicone (Food-grade),Dragon Skin 10 NV / AF-10,1,$30.00,Smooth-On,https://www.smooth-on.com/products/dragon-skin-10-nv/
Filament,PETG Filament (Wearable-graded),Inland/Prusa PETG,1,$25.00,Amazon/Micro Center,https://www.prusa3d.com/category/petg/
Miscellaneous,Resistors / Capacitors / Hookup Wire,Various,1,$5.00,DigiKey,https://www.digikey.com
Total Cost,,, ,$106.50,,
